date,restaurant,category,meal,week,menu_clean
05월 26일,상록원3층식당,집밥,중식,월,돈갈비김치찌개 치킨너겟 미나리나물 도시락김 샐러드 
05월 26일,누리터 식당(일산캠퍼스),누리밥상,석식,월,참치주먹밥 꼬치어묵우동 단무지 
05월 26일,누리터 식당(일산캠퍼스),누리밥상,중식,월,콩나물국 돼지간장불고기 상추쌈 쌈장 비엔나메추리알조림  순대국밥 부추무침 깍두기
05월 26일,상록원3층식당,집밥,석식,월,된장찌개 삼겹살오븐구이&부추무침 메추리알어묵조림 아삭이고추된장무침 샐러드 
05월 26일,누리터 식당(일산캠퍼스),,조식뷔페,월,천원의 아침
05월 26일,상록원1층식당(솥앤누들),메뉴,,월,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭  소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 26일,상록원2층식당,양식코너,중식,월,품절시까지 미소카츠 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 26일,상록원3층식당,한그릇(한정판매),중식,월,게살새우볶음밥&짜장 짬뽕국 수제탕수육 단무지 
05월 26일,상록원2층식당,일품코너,중식,월,품절시까지 삼겹살김치볶음덮밥 요구르트 돼지 오스트리아산 
05월 27일,누리터 식당(일산캠퍼스),누리밥상,석식,화,치즈불닭팬라이스 우동국물 단무지 김치
05월 27일,누리터 식당(일산캠퍼스),누리밥상,중식,화,쫄면사리 순두부찌개 쌀밥 칠리소스떡갈비 도토리묵무침 김치 통등심돈까스 우동국물 양배추샐러드 단무지 김치
05월 27일,누리터 식당(일산캠퍼스),,조식뷔페,화,천원의 아침
05월 27일,상록원1층식당(솥앤누들),메뉴,,화,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭  소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 27일,상록원2층식당,일품코너,중식,화,품절시까지 새우볶음밥 돈육짜장 군만두 요구르트 돼지 
05월 27일,상록원2층식당,양식코너,중식,화,품절시까지 치즈돈까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 27일,상록원3층식당,한그릇(한정판매),중식,화,주꾸미야채비빔밥 치킨까스 
05월 27일,상록원3층식당,집밥,중식,화,쌈밥 삼겹살미나리볶음 감자채볶음 콩나물무침 샐러드 
05월 27일,상록원3층식당,집밥,석식,화,롤치즈돈까스&생선까스 시금치나물 단무지무침 샐러드 
05월 28일,상록원3층식당,집밥,중식,수,차돌육개장 납작떡갈비구이 애호박나물 샐러드 깍두기
05월 28일,상록원3층식당,한그릇(한정판매),중식,수,날치알김치볶음밥 닭다리오븐구이 꽈배기도너츠 
05월 28일,상록원2층식당,일품코너,중식,수,품절시까지 눈꽃치즈제육덮밥 김말이튀김 요구르트 돼지 
05월 28일,누리터 식당(일산캠퍼스),누리밥상,석식,수,콩나물제육비빔밥 들깨미역국 단무지 김치 요구르트
05월 28일,누리터 식당(일산캠퍼스),,조식뷔페,수,천원의 아침
05월 28일,상록원2층식당,양식코너,중식,수,품절시까지 순살등심돈까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 28일,누리터 식당(일산캠퍼스),누리밥상,중식,수,베이컨크림스파게티 마늘빵 그린샐러드 단무지 김치 알밥 우동국물 오징어링튀김 단무지 김치
05월 28일,상록원3층식당,집밥,석식,수,장조림버터솥밥 꼬치어묵국 떡볶이 김말이튀김 샐러드 
05월 28일,상록원1층식당(솥앤누들),메뉴,,수,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭  소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 29일,누리터 식당(일산캠퍼스),,조식뷔페,목,천원의 아침
05월 29일,누리터 식당(일산캠퍼스),누리밥상,중식,목,뚝배기 닭도리탕 어묵야채볶음 오이스틱 쌈장  치즈돈까스 양배추샐러드 단무지 김치
05월 29일,상록원1층식당(솥앤누들),메뉴,,목,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭  소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 29일,상록원3층식당,집밥,석식,목,오므라이스&그릴소세지 통새우볼튀김 샐러드 
05월 29일,상록원2층식당,양식코너,중식,목,품절시까지 양념치킨까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 29일,누리터 식당(일산캠퍼스),누리밥상,석식,목,소고기무국 오징어두부두루치기 숙주부추무침 김치
05월 29일,상록원2층식당,일품코너,중식,목,품절시까지 오므라이스 소세지구이 요구르트 돼지 
05월 29일,상록원3층식당,한그릇(한정판매),중식,목,차돌불고기숙주덮밥 막국수 식혜 
05월 29일,상록원3층식당,집밥,중식,목,매운돈갈비찜 콩나물냉국 비비고만두튀김 쑥갓나물 샐러드 
05월 30일,누리터 식당(일산캠퍼스),누리밥상,중식,금,통등심돈까스 팽이장국 양배추샐러드 단무지 김치 돌솥나물비빔밥 계란후라이 팽이장국 코다리무조림 단무지 김치
05월 30일,상록원3층식당,한그릇(한정판매),중식,금,카레라이스&새우튀김 야채핫바 제주감귤주스 
05월 30일,상록원1층식당(솥앤누들),메뉴,,금,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭  소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 30일,상록원2층식당,양식코너,중식,금,품절시까지 고구마치즈돈까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 30일,상록원3층식당,집밥,석식,금,설렁탕 왕만두 샐러드 깍두기
05월 30일,상록원2층식당,일품코너,중식,금,품절시까지 일식커리덮밥 치킨가라아게 요구르트  브라질산
05월 30일,상록원3층식당,집밥,중식,금,쫄면사리치즈닭갈비 후랑크볶음 숙주나물 샐러드 
05월 30일,누리터 식당(일산캠퍼스),누리밥상,석식,금,새우볶음밥 짜장소스 군만두 단무지 김치
05월 31일,상록원3층식당,집밥,중식,토,삼겹살두루치기덮밥
05월 19일,상록원3층식당,집밥,중식,월,소고기된장찌개 제육볶음 고구마줄기볶음 깻잎무침 샐러드 
05월 19일,누리터 식당(일산캠퍼스),누리밥상,석식,월,삼겹살김치찌개 비엔나케첩볶음 콩나물무침 깍두기
05월 19일,누리터 식당(일산캠퍼스),누리밥상,중식,월,제육숙주솥밥 유부장국 베이컨크림스파게티
05월 19일,상록원3층식당,집밥,석식,월,치즈부대찌개 치킨가라아게 콩나물무침 샐러드 
05월 19일,누리터 식당(일산캠퍼스),,조식뷔페,월,천원의 아침
05월 19일,상록원1층식당(솥앤누들),메뉴,,월,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭 브라질산 소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 19일,상록원2층식당,양식코너,중식,월,품절시까지 순살등심돈까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 19일,상록원3층식당,한그릇(한정판매),중식,월,롤치즈돈까스&생선까스 크림스프 샐러드 
05월 19일,상록원2층식당,일품코너,중식,월,품절시까지 불닭마요덮밥 요구르트 닭 
05월 20일,누리터 식당(일산캠퍼스),누리밥상,석식,화,참치마요덮밥 우동국물 감자고로케 단무지 김치
05월 20일,누리터 식당(일산캠퍼스),누리밥상,중식,화,낙지삼겹덮밥 호박두부된장국 느타리버섯전 닭곰탕 부추무침 깍두기
05월 20일,누리터 식당(일산캠퍼스),,조식뷔페,화,천원의 아침
05월 20일,상록원1층식당(솥앤누들),메뉴,,화,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭 브라질산 소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 20일,상록원2층식당,일품코너,중식,화,품절시까지 매콤제육덮밥 핫도그 요구르트 돼지  돼지 닭 
05월 20일,상록원2층식당,양식코너,중식,화,품절시까지 고구마치즈돈까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 20일,상록원3층식당,한그릇(한정판매),중식,화,산나물비빔밥 수제떡갈비&부추무침 식혜 
05월 20일,상록원3층식당,집밥,중식,화,돈코츠라멘 계란말이 단무지무침 샐러드 
05월 20일,상록원3층식당,집밥,석식,화, 변압기 고장으로 인한 운영중단
05월 21일,상록원3층식당,한그릇(한정판매),중식,수,차슈볶음밥 꼬치어묵국 쫄면무침 과일주스팩 
05월 21일,상록원2층식당,일품코너,중식,수,품절시까지 햄김치볶음밥 생선까스 돼지 
05월 21일,누리터 식당(일산캠퍼스),누리밥상,석식,수,잡채덮밥&짜장소스 짬뽕국 단무지 김치 요구르트
05월 21일,상록원2층식당,양식코너,중식,수,품절시까지 양념치킨까스 감자튀김 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 21일,누리터 식당(일산캠퍼스),,조식뷔페,수,천원의 아침
05월 21일,상록원3층식당,집밥,중식,수,치즈찜닭 의성마늘햄구이 시금치나물 샐러드 
05월 21일,누리터 식당(일산캠퍼스),누리밥상,중식,수,부대찌개 꽈리고추멸치볶음 부추계란찜 김치 순대국밥
05월 21일,상록원3층식당,집밥,석식,수,돈갈비김치찌개 치킨너겟 잡채 아삭이고추된장무침 
05월 21일,상록원1층식당(솥앤누들),메뉴,,수,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭 브라질산 소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 22일,상록원3층식당,집밥,석식,목,불고기전골 스팸구이 계란후라이 샐러드 
05월 22일,누리터 식당(일산캠퍼스),누리밥상,중식,목,돈까스카레덮밥 우동국물 브로콜리토마토샐러드 단무지 김치 파듬뿍육개장 동그랑땡 부추무침 각두기
05월 22일,누리터 식당(일산캠퍼스),,조식뷔페,목,천원의 아침
05월 22일,상록원3층식당,집밥,중식,목,수육쌈밥 진미채볶음 애호박나물 샐러드 
05월 22일,상록원1층식당(솥앤누들),메뉴,,목,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭  브라질산 소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 22일,상록원2층식당,양식코너,중식,목,품절시까지 치즈돈까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 22일,누리터 식당(일산캠퍼스),누리밥상,석식,목,열무비빔국수 우동국물 찐만두 초간장 단무지 김치
05월 22일,상록원2층식당,일품코너,중식,목,품절시까지 청양풍치킨덮밥 요구르트 닭 
05월 22일,상록원3층식당,한그릇(한정판매),중식,목,차돌참나물비빔밥 통살새우까스 
05월 23일,누리터 식당(일산캠퍼스),누리밥상,중식,금,참치김치덮밥 계란후라이 데리야끼탕수육 단무지 깍두기 소불고기뚝배기 단호박범벅 오이부추무침 김치
05월 23일,상록원3층식당,한그릇(한정판매),중식,금,삼겹살두루치기덮밥 수제파닭꼬치 
05월 23일,상록원1층식당(솥앤누들),메뉴,,금,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭  브라질산 소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 23일,누리터 식당(일산캠퍼스),,조식뷔페,금,천원의 아침
05월 23일,상록원2층식당,양식코너,중식,금,품절시까지 더블까스닭  돼지  토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 23일,상록원3층식당,집밥,석식,금,돌솥비빔밥 롤치즈돈까스 납작떡갈비 샐러드 
05월 23일,상록원2층식당,일품코너,중식,금,품절시까지 불고기열무비빔밥 요구르트 소 호주산 열무 
05월 23일,상록원3층식당,집밥,중식,금,샤브칼국수 왕만두 미나리전 도토리묵무침 
05월 23일,누리터 식당(일산캠퍼스),누리밥상,석식,금,새우튀김우동 후리가케주먹밥 단무지 김치
05월 24일,상록원3층식당,집밥,중식,토,간장파불고기
05월 12일,상록원3층식당,집밥,중식,월,부대찌개 치킨가라아게 쑥갓나물 샐러드 
05월 12일,누리터 식당(일산캠퍼스),누리밥상,석식,월,왕새우오므라이스 유부장국 그린샐러드 단무지 김치
05월 12일,누리터 식당(일산캠퍼스),누리밥상,중식,월,제육소보로동 생선까스 타르타르소스 통등심돈까스
05월 12일,상록원3층식당,집밥,석식,월,돼지국밥 순대찜 새송이버섯볶음 비름나물 깍두기
05월 12일,누리터 식당(일산캠퍼스),,조식뷔페,월,천원의 아침
05월 12일,상록원1층식당(솥앤누들),메뉴,,월,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 돌솥비빔밥 삼겹 돼지 오스트리아산 닭 브라질산 소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 12일,상록원2층식당,양식코너,중식,월,품절시까지 미소카츠 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 12일,상록원3층식당,한그릇(한정판매),중식,월,차슈덮밥 떡볶이 군만두 요플레 
05월 12일,상록원2층식당,일품코너,중식,월,품절시까지 게살볶음밥 파 요구르트  브라질산
05월 13일,누리터 식당(일산캠퍼스),누리밥상,석식,화,닭고기데리야끼솥밥 유부장국 단무지 김치 요구르트
05월 13일,누리터 식당(일산캠퍼스),누리밥상,중식,화,오삼불고기덮밥 얼큰수육국밥
05월 13일,누리터 식당(일산캠퍼스),,조식뷔페,화,천원의 아침
05월 13일,상록원1층식당(솥앤누들),메뉴,,화,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 돌솥비빔밥 삼겹 돼지 오스트리아산 닭 브라질산 소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 13일,상록원2층식당,일품코너,중식,화,품절시까지 소불고기김치볶음덮밥 요구르트 소 
05월 13일,상록원2층식당,양식코너,중식,화,품절시까지 치즈돈까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 13일,상록원3층식당,한그릇(한정판매),중식,화,오므라이스&치즈롤까스 훈제닭다리살샐러드 
05월 13일,상록원3층식당,집밥,중식,화,삼겹살쌈밥 감자채볶음 비름나물 도시락김 샐러드 
05월 13일,상록원3층식당,집밥,석식,화,쫄면사리치즈닭갈비 의성마늘햄구이 감자채볶음 샐러드 
05월 14일,상록원3층식당,집밥,중식,수,된장찌개 바싹불고기 비엔나볶음 미나리나물 샐러드 
05월 14일,상록원3층식당,한그릇(한정판매),중식,수,날치알김치볶음밥&그릴소세지 통살새우까스&양파링튀김 
05월 14일,상록원2층식당,일품코너,중식,수,품절시까지 낙삼덮밥 요구르트 낙지  삼겹 오스트리아산
05월 14일,누리터 식당(일산캠퍼스),,조식뷔페,수,천원의 아침
05월 14일,누리터 식당(일산캠퍼스),누리밥상,석식,수,감자탕 오이스틱 쌈장 어묵야채볶음 깍두기
05월 14일,상록원2층식당,양식코너,중식,수,품절시까지 순살등심돈까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 14일,누리터 식당(일산캠퍼스),누리밥상,중식,수,뚝배기청국장 제육볶음 상추쌈 쌈장 소시지전 케첩 김치 순대국밥
05월 14일,상록원3층식당,집밥,석식,수,강된장제육비빔밥 김말이강정 해물동그랑땡 도시락김 샐러드 
05월 14일,상록원1층식당(솥앤누들),메뉴,,수,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 돌솥비빔밥 삼겹 돼지 오스트리아산 닭 브라질산 소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 15일,누리터 식당(일산캠퍼스),누리밥상,중식,목,고기국수 쌀밥 단무지 김치 요구르트 스팸제육김치팬라이스
05월 15일,상록원3층식당,한그릇(한정판매),중식,목,불고기열무비빔밥 훈제오리&부추무침 
05월 15일,상록원1층식당(솥앤누들),메뉴,,목,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭 브라질산 소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 15일,상록원2층식당,양식코너,중식,목,품절시까지 치즈롤까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 15일,누리터 식당(일산캠퍼스),누리밥상,석식,목,날치알김치볶음밥 유부장국 돈육메추리알장조림 단무지 깍두기
05월 15일,상록원2층식당,일품코너,중식,목,품절시까지 짜장면 계란볶음밥 요구르트 돼지 
05월 15일,상록원3층식당,집밥,석식,목,삼겹살김치찜 꼬마돈까스 콩나물무침 샐러드 
05월 15일,상록원3층식당,집밥,중식,목,장각삼계탕 왕만두 아삭이고추된장무침 샐러드 
05월 16일,누리터 식당(일산캠퍼스),누리밥상,중식,금,찹스테이크팬라이스 치즈돈까스
05월 16일,상록원3층식당,한그릇(한정판매),중식,금,쭈삼불고기덮밥 치킨까스 
05월 16일,누리터 식당(일산캠퍼스),,조식뷔페,금,천원의 아침
05월 16일,상록원1층식당(솥앤누들),메뉴,,금,삼겹살김치철판 치즈불닭철판 데리야끼치킨솥밥 숯불삼겹솥밥 우삼겹솥밥 콘치즈솥밥 냉모밀 냉모밀 돈가스 냉모밀 알밥 철판치즈돈가스 낙지삼겹솥밥 삼겹 돼지 오스트리아산 닭 브라질산 소 미국산 스팸 돼지  외국산 돈가스 돼지  낙지 베트남산 쌀  배추김치 배추 고춧가루 
05월 16일,상록원2층식당,양식코너,중식,금,품절시까지 고구마치즈돈까스 토마토파스타&마늘빵 까르보나라&마늘빵 치즈오븐파스타
05월 16일,상록원3층식당,집밥,석식,금,설렁탕 미나리전 샐러드 깍두기
